OTU	log_x	log_y	log_x/y	r
OTU 43	-2.916889186	-2.99478872	0.077899533	0.61728389
OTU 44	-2.951784369	-1.629210529	-1.32257384	0.123097223
OTU 45	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 46	-3.254548077	-2.868543833	-0.386004244	0.36185373
OTU 47	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 48	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 49	-2.706035821	-1.60338592	-1.1026499	0.158566057
OTU 50	-3.936484742	-4.913866812	0.97738207	1.738706232
OTU 51	-4.310065405	-4.913866812	0.603801407	1.130930403
OTU 52	-2.588030097	-4.913866812	2.325836715	8.212086847
OTU 53	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 54	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 55	-3.314031592	-2.79992346	-0.514108133	0.312234659
OTU 56	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 57	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 58	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 59	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 60	-3.221124322	-4.913866812	1.69274249	3.961926561
OTU 61	-3.272276844	-2.512466271	-0.759810573	0.235304314
OTU 62	-2.89661323	-1.778734161	-1.11787907	0.155810113
OTU 63	-2.973060189	-2.098953631	-0.874106559	0.206291767
OTU 64	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 65	-2.901208982	-2.668354144	-0.232854838	0.431626159
OTU 66	-3.334424751	-4.913866812	1.579442061	3.477412465
OTU 67	-2.808632663	-2.853168972	0.044536308	0.594023095
OTU 68	-4.029238795	-4.913866812	0.884628017	1.562604909
OTU 69	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 70	-2.379255252	-4.913866812	2.53461156	10.443377
OTU 71	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 72	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 73	-3.355822896	-2.950078985	-0.405743911	0.353722935
OTU 74	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 75	-3.936484742	-2.25776861	-1.678716132	0.081691545
OTU 76	-3.326152225	-2.395352872	-0.930799353	0.193257118
