OTU	log_x	log_y	log_x/y	r
OTU 156	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 157	-3.516197891	-4.984441796	1.468243905	3.059546995
OTU 158	-2.525277549	-4.984441796	2.459164247	9.574526367
OTU 159	-2.18690524	-2.788542144	0.601636904	1.128115659
OTU 160	-2.974274515	-4.984441796	2.010167281	5.709772655
OTU 161	-4.978595889	-3.642019115	-1.336576774	0.121128625
OTU 162	-2.814243033	-3.662222501	0.847979468	1.498045174
OTU 163	-3.222721034	-3.780321814	0.55760078	1.072347555
OTU 164	-2.841875322	-4.984441796	2.142566474	6.649950507
OTU 165	-2.690794159	-2.577901616	-0.112892544	0.495551625
OTU 166	-1.968295933	-4.984441796	3.016145864	18.18059565
OTU 167	-2.02725837	-3.553078032	1.525819662	3.269226471
OTU 168	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 169	-2.630291026	-4.984441796	2.35415077	8.484193422
OTU 170	-3.422293388	-3.1271093	-0.295184089	0.401738202
OTU 171	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 172	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 173	-2.126726288	-3.729169291	1.602443003	3.570727245
OTU 174	-3.547232125	-3.479291818	-0.067940307	0.521873233
OTU 175	-4.978595889	-3.049943345	-1.928652544	0.061264501
OTU 176	-3.014808062	-4.984441796	1.969633734	5.449442107
OTU 177	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 178	-3.387531282	-3.086814705	-0.300716577	0.399187458
OTU 179	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 180	-3.447116972	-3.729169291	0.282052319	0.78083871
OTU 181	-3.345127434	-4.984441796	1.639314363	3.725566821
OTU 182	-3.899414643	-2.654028023	-1.24538662	0.134537039
OTU 183	-4.978595889	-2.721990706	-2.256605183	0.041998384
